City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
99,Pevek,69.7008,170.3133,32.77,89,100,12.03,RU,2022-08-31 20:27:58
100,Cape Town,-33.9258,18.4232,67.37,41,0,3.44,ZA,2022-08-31 20:30:03
101,Carnarvon,-24.8667,113.6333,64.56,42,5,16.87,AU,2022-08-31 20:31:54
102,Norman Wells,65.282,-126.8329,64.44,59,75,3.44,CA,2022-08-31 20:31:55
103,Tinqueux,49.25,3.9833,69.28,77,0,3.44,FR,2022-08-31 20:31:55
104,Parana,-31.732,-60.5238,82.54,38,8,5.01,AR,2022-08-31 20:31:03
105,Kosh-Agach,50.0,88.6667,44.58,59,17,1.19,RU,2022-08-31 20:31:55
106,Atar,20.5169,-13.0499,92.32,45,38,10.63,MR,2022-08-31 20:31:56
107,Fortuna,40.5982,-124.1573,69.93,80,20,8.05,US,2022-08-31 20:31:56
108,Huarmey,-10.0681,-78.1522,66.92,71,1,13.2,PE,2022-08-31 20:31:56
109,Kodiak,57.79,-152.4072,54.91,94,100,10.36,US,2022-08-31 20:28:09
110,Altepexi,18.35,-97.3167,82.45,44,100,11.07,MX,2022-08-31 20:31:57
111,Jalu,29.0331,21.5482,81.5,47,0,14.36,LY,2022-08-31 20:31:57
112,Bratsk,56.1325,101.6142,59.49,95,100,12.62,RU,2022-08-31 20:31:58
113,Barra,-11.0894,-43.1417,79.21,36,1,4.94,BR,2022-08-31 20:31:58
114,Okha,53.5739,142.9478,56.7,89,0,8.95,RU,2022-08-31 20:31:59
115,Velingara,13.15,-14.1167,73.71,98,100,5.06,SN,2022-08-31 20:31:59
116,Portland,45.5234,-122.6762,90.86,46,0,7.0,US,2022-08-31 20:27:57
117,El Tigre,8.8875,-64.2454,86.63,49,100,3.0,VE,2022-08-31 20:31:59
118,Vizinga,61.0749,50.1031,47.97,95,100,10.54,RU,2022-08-31 20:32:00
119,Parrita,9.5201,-84.3225,81.41,79,92,5.91,CR,2022-08-31 20:32:00
120,Saldanha,-33.0117,17.9442,69.85,62,53,13.78,ZA,2022-08-31 20:32:01
121,Kandrian,-6.2167,149.55,77.18,88,100,6.33,PG,2022-08-31 20:32:01
122,Dikson,73.5069,80.5464,41.0,90,93,13.38,RU,2022-08-31 20:32:01
123,Narsaq,60.9167,-46.05,52.02,51,4,1.28,GL,2022-08-31 20:32:02
124,Natal,-5.795,-35.2094,80.82,69,20,19.57,BR,2022-08-31 20:32:02
125,Hokitika,-42.7167,170.9667,53.37,92,100,8.52,NZ,2022-08-31 20:32:03
126,Hithadhoo,-0.6,73.0833,80.6,74,92,15.66,MV,2022-08-31 20:32:03
127,Canutama,-6.5339,-64.3831,95.81,29,4,1.95,BR,2022-08-31 20:32:04
128,Bengkulu,-3.8004,102.2655,75.42,90,91,4.23,ID,2022-08-31 20:32:04
129,Yakeshi,49.2833,120.7333,37.92,48,46,5.17,CN,2022-08-31 20:32:04
130,Vernon,50.2581,-119.2691,93.13,34,54,3.44,CA,2022-08-31 20:31:59
131,Tual,-5.6667,132.75,80.8,79,77,12.84,ID,2022-08-31 20:32:05
132,Hudiksvall,61.729,17.1036,47.95,75,16,6.17,SE,2022-08-31 20:32:05
133,Haverfordwest,51.8017,-4.9691,63.99,77,91,8.75,GB,2022-08-31 20:32:06
134,Castel San Pietro Terme,44.3986,11.5848,74.73,93,87,1.52,IT,2022-08-31 20:32:07
135,Tuktoyaktuk,69.4541,-133.0374,60.8,63,20,6.91,CA,2022-08-31 20:32:07
136,Along,28.1667,94.7667,74.48,99,100,0.87,IN,2022-08-31 20:33:08
137,Ketchikan,55.3422,-131.6461,57.67,100,100,5.75,US,2022-08-31 20:33:08
138,Vilhena,-12.7406,-60.1458,93.42,26,0,5.75,BR,2022-08-31 20:33:08
139,Viedma,-40.8135,-62.9967,64.18,30,97,4.18,AR,2022-08-31 20:33:09
140,Ust-Tsilma,65.441,52.1498,39.97,76,99,5.19,RU,2022-08-31 20:33:09
141,Gravdal,68.1214,13.5031,42.69,100,20,3.44,NO,2022-08-31 20:33:10
142,Zhigansk,66.7697,123.3711,40.93,85,100,8.88,RU,2022-08-31 20:33:10
143,Puro,12.4841,123.3827,81.5,80,66,9.28,PH,2022-08-31 20:33:11
144,Craig,40.5153,-107.5464,87.75,12,20,3.44,US,2022-08-31 20:32:27
145,Doka,13.5167,35.7667,74.16,89,78,5.1,SD,2022-08-31 20:33:12
146,Murgab,37.4966,61.9714,73.27,40,0,0.0,TM,2022-08-31 20:33:12
147,Mainaguri,26.5667,88.8167,77.67,92,100,2.62,IN,2022-08-31 20:33:12
148,Perth,-31.9333,115.8333,55.09,77,0,20.71,AU,2022-08-31 20:30:30
149,Saint-Pierre,-21.3393,55.4781,67.91,79,0,4.61,RE,2022-08-31 20:24:27
150,Kirakira,-10.4544,161.9205,79.92,82,99,11.83,SB,2022-08-31 20:33:13
151,Sobolevo,54.4299,31.8996,49.3,64,81,7.09,RU,2022-08-31 20:33:14
152,Truth Or Consequences,33.1284,-107.2528,79.92,69,100,16.11,US,2022-08-31 20:29:00
153,Pierre,44.3683,-100.351,94.86,30,0,4.61,US,2022-08-31 20:33:14
154,Manavalakurichi,8.1333,77.3,76.48,91,100,10.02,IN,2022-08-31 20:33:15
155,Ixtapa,20.7,-105.2,90.23,62,40,10.36,MX,2022-08-31 20:30:48
156,Poum,-20.2333,164.0167,73.09,78,76,18.68,NC,2022-08-31 20:29:31
157,Itoman,26.1247,127.6694,84.22,86,75,19.57,JP,2022-08-31 20:33:15
158,Vardo,70.3705,31.1107,40.98,81,40,12.66,NO,2022-08-31 20:33:16
159,Borova,50.1763,30.1043,63.25,73,13,5.35,UA,2022-08-31 20:33:16
160,Dingle,10.9995,122.6711,75.9,91,100,3.44,PH,2022-08-31 20:33:17
161,Comodoro Rivadavia,-45.8667,-67.5,62.46,27,0,19.57,AR,2022-08-31 20:30:02
162,Gemena,3.25,19.7667,69.64,97,99,1.99,CD,2022-08-31 20:33:18
163,Esperance,-33.8667,121.9,51.03,81,36,6.13,AU,2022-08-31 20:33:18
164,Klaksvik,62.2266,-6.589,50.92,89,13,16.84,FO,2022-08-31 20:24:27
165,Hilo,19.7297,-155.09,87.28,76,20,11.5,US,2022-08-31 20:33:13
166,Quimper,48.0,-4.1,68.56,100,75,3.44,FR,2022-08-31 20:33:19
167,Shingu,33.7333,135.9833,77.67,91,100,3.83,JP,2022-08-31 20:33:19
168,San Patricio,28.017,-97.5169,91.29,51,100,10.85,US,2022-08-31 20:28:22
169,Muskegon Heights,43.2011,-86.239,80.44,64,20,10.36,US,2022-08-31 20:33:20
170,Bairiki,1.3292,172.9752,82.4,78,20,10.36,KI,2022-08-31 20:33:20
171,Batagay,67.6333,134.6333,48.6,80,97,2.04,RU,2022-08-31 20:33:21
172,Nome,64.5011,-165.4064,50.07,88,100,9.22,US,2022-08-31 20:30:53
173,Namibe,-15.1961,12.1522,64.71,87,66,11.03,AO,2022-08-31 20:33:21
174,Saint-Philippe,-21.3585,55.7679,67.21,79,19,3.15,RE,2022-08-31 20:33:22
175,Mayo,38.8876,-76.5119,86.36,49,20,11.5,US,2022-08-31 20:33:22
176,Amarante Do Maranhao,-5.5667,-46.7422,87.49,29,3,3.4,BR,2022-08-31 20:33:23
177,Purna,19.1833,77.05,80.49,75,85,4.27,IN,2022-08-31 20:33:23
178,Sao Filipe,14.8961,-24.4956,77.81,81,88,7.43,CV,2022-08-31 20:33:24
179,Mount Gambier,-37.8333,140.7667,48.34,79,100,5.55,AU,2022-08-31 20:32:01
180,Mirabad,30.4362,61.8383,82.74,15,2,17.07,AF,2022-08-31 20:34:24
181,Oranjemund,-28.55,16.4333,58.69,78,36,3.89,NA,2022-08-31 20:34:24
182,Emba,48.8264,58.1442,76.06,27,4,5.28,KZ,2022-08-31 20:34:25
183,Bukachacha,52.9833,116.9167,36.1,68,81,3.13,RU,2022-08-31 20:34:25
184,Medina,24.4686,39.6142,97.23,6,0,4.61,SA,2022-08-31 20:34:26
185,Chapais,49.7834,-74.8492,58.78,86,100,6.31,CA,2022-08-31 20:32:46
186,Sabang,5.8933,95.3214,81.79,76,99,13.2,ID,2022-08-31 20:34:26
187,Moron,-34.6534,-58.6198,70.81,72,87,4.72,AR,2022-08-31 20:34:27
188,Tiksi,71.6872,128.8694,40.1,97,80,4.47,RU,2022-08-31 20:32:03
189,Sioux Lookout,50.1001,-91.917,59.07,58,75,9.22,CA,2022-08-31 20:34:27
190,Vao,-22.6667,167.4833,71.01,68,100,17.98,NC,2022-08-31 20:34:28
191,Hasaki,35.7333,140.8333,79.2,88,33,19.84,JP,2022-08-31 20:34:28
192,Trebisacce,39.8708,16.5312,76.35,62,82,7.36,IT,2022-08-31 20:34:28
193,Broome,42.2506,-75.833,77.7,52,75,10.36,US,2022-08-31 20:34:29
194,Ust-Kuyga,70.0167,135.6,51.82,86,100,3.36,RU,2022-08-31 20:34:29
195,Longyearbyen,78.2186,15.6401,37.24,81,40,3.44,SJ,2022-08-31 20:34:29
196,Sao Jose Da Coroa Grande,-8.8978,-35.1478,73.99,77,81,12.15,BR,2022-08-31 20:34:30
197,Teya,60.3778,92.6267,42.73,74,93,9.26,RU,2022-08-31 20:25:31
198,Kaitangata,-46.2817,169.8464,49.14,79,61,2.86,NZ,2022-08-31 20:31:57
199,Ternate,0.8,127.4,79.65,80,27,2.15,ID,2022-08-31 20:33:00
200,Buta,2.7858,24.73,69.39,99,99,1.41,CD,2022-08-31 20:34:31
