City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Port Elizabeth,-33.918,25.5701,59.29,75,0,18.41,ZA,2022-08-31 20:15:25
132,Saint-Francois,46.4154,3.9054,67.44,73,0,3.44,FR,2022-08-31 20:16:39
133,Lardos,36.0942,28.0157,80.42,85,3,11.45,GR,2022-08-31 20:16:40
134,Pisco,-13.7,-76.2167,66.25,68,20,19.57,PE,2022-08-31 20:17:40
135,Vestmannaeyjar,63.4427,-20.2734,50.25,78,95,17.74,IS,2022-08-31 20:17:40
136,Narsaq,60.9167,-46.05,52.02,47,1,2.3,GL,2022-08-31 20:17:41
137,Ilulissat,69.2167,-51.1,39.22,87,75,8.05,GL,2022-08-31 20:10:49
138,Langfang,39.5097,116.6947,65.08,57,0,8.14,CN,2022-08-31 20:17:41
139,Vao,-22.6667,167.4833,71.02,68,99,15.19,NC,2022-08-31 20:10:37
140,Tugulym,57.0591,64.6425,62.67,96,7,6.15,RU,2022-08-31 20:17:42
141,Bredasdorp,-34.5322,20.0403,52.2,72,9,8.14,ZA,2022-08-31 20:17:42
142,East London,-33.0153,27.9116,58.51,64,0,15.48,ZA,2022-08-31 20:17:43
143,Mindelo,16.8901,-24.9804,81.95,69,100,5.75,CV,2022-08-31 20:17:43
144,Calarasi,47.2544,28.3081,68.32,62,73,7.61,MD,2022-08-31 20:17:44
145,Salalah,17.0151,54.0924,77.09,88,20,2.3,OM,2022-08-31 20:17:44
146,Kodiak,57.79,-152.4072,54.91,94,100,11.5,US,2022-08-31 20:17:44
147,Matara,5.9485,80.5353,76.39,89,97,13.96,LK,2022-08-31 20:12:05
148,Mancora,-4.1078,-81.0475,74.23,64,100,14.72,PE,2022-08-31 20:17:45
149,Nurota,40.5614,65.6886,73.58,17,0,6.64,UZ,2022-08-31 20:17:45
150,Zhanaozen,43.3,52.8,82.6,17,0,5.35,KZ,2022-08-31 20:17:46
151,Yarmouth,41.7057,-70.2286,83.97,68,40,14.97,US,2022-08-31 20:13:38
152,Tingi,-11.3,35.0333,60.13,67,21,2.86,TZ,2022-08-31 20:17:46
153,Ligayan,4.6533,119.4706,83.08,70,99,2.26,PH,2022-08-31 20:17:47
154,Pangnirtung,66.1451,-65.7125,50.74,47,7,5.97,CA,2022-08-31 20:09:28
155,Torbay,47.6666,-52.7314,77.88,72,75,12.66,CA,2022-08-31 20:17:47
156,Dzhubga,44.3211,38.7039,78.21,57,0,8.16,RU,2022-08-31 20:17:47
157,Yellowknife,62.456,-114.3525,59.56,77,75,9.22,CA,2022-08-31 20:17:48
158,Kavieng,-2.5744,150.7967,82.49,69,91,16.84,PG,2022-08-31 20:17:48
159,Magadan,59.5667,150.8,51.51,84,11,3.04,RU,2022-08-31 20:17:49
160,Shirokiy,49.758,129.523,48.13,91,100,9.28,RU,2022-08-31 20:17:49
161,Harper,4.375,-7.7169,75.49,90,100,11.99,LR,2022-08-31 20:09:22
